url,address,year_built,condition,wear_percent,lat,lon
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658013,"ул. 28-й Армии, 10 корпус 2, Астрахань, Астраханская область",1968,Исправный,60,46.3734431,48.0542537
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/633894,"ул. 28-й Армии, 10 корпус 1, Астрахань, Астраханская область",1962,Исправный,59,46.3734431,48.0542537
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658012,"ул. 28-й Армии, 10, Астрахань, Астраханская область",1962,Исправный,60,46.372963,48.0547766
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/549823,"ул. 28-й Армии, 12 корпус 1, Астрахань, Астраханская область",1962,Исправный,60,46.3734431,48.0542537
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658014,"ул. 28-й Армии, 12, Астрахань, Астраханская область",1962,Исправный,60,46.3729035,48.0559352
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658015,"ул. 28-й Армии, 14, Астрахань, Астраханская область",1962,Исправный,60,46.3728297,48.0569717
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/600221,"ул. 28-й Армии, 14 корпус 1, Астрахань, Астраханская область",1986,Исправный,60,46.3734431,48.0542537
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/549824,"ул. 28-й Армии, 14 корпус 2, Астрахань, Астраханская область",1970,Исправный,60,46.3734431,48.0542537
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/549826,"ул. 28-й Армии, 16 корпус 2, Астрахань, Астраханская область",1973,Исправный,60,46.3734431,48.0542537
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/549825,"ул. 28-й Армии, 16, Астрахань, Астраханская область",1962,Исправный,60,46.3728809,48.0581084
